pet_type,perceived_role_of_the_pet,interaction_frequency,daily_pet_care_time_minutes,pet_friendly_environment,ccas_q1,ccas_q2,ccas_q3,ccas_q4,ccas_q5,ccas_q6,ccas_q7,ccas_q8,ccas_q9,ccas_q10,ccas_q11,ccas_q12,ccas_q13,pss_q1,pss_q,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,owner_age,owner_gender,owner_living_situation,owner_employment_status,owner_martial_status,owner_family_income,western_province,pss_score,stress_level,ccas_score,comfort_level
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,0,3,3,0,4,3,3,4,0,1,2,4,3,0,3,4,0,1,20,Female,Living with family,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,38,Moderate Attachment
Dog,Family member,Daily,>180,Yes,4,3,3,4,3,0,3,4,1,4,3,3,3,0,0,1,3,4,0,3,4,0,0,21,Male,Living Alone,Student,unmarried,"Above 700,000",Yes,15,Moderate,38,Moderate Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,4,4,0,4,4,0,4,4,4,4,0,1,0,3,4,1,4,3,0,0,22,Female,Living Alone,Student,unmarried,"Above 700,000",Yes,16,Moderate,44,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,4,3,1,3,3,1,4,4,4,4,0,0,0,3,4,0,3,4,1,0,23,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes,15,Moderate,43,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,4,3,4,1,4,4,1,4,3,4,3,0,1,1,4,3,0,4,4,1,0,18,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,43,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,4,3,0,3,4,1,4,4,4,3,0,0,1,3,4,0,3,3,0,0,24,Female,Living with family,Student,unmarried,"50,000 -150,000",Yes,14,Moderate,41,High Attachment
Cat,Family member,Daily,>180,Yes,3,3,3,4,4,0,3,3,1,4,4,4,4,0,1,1,3,4,0,4,4,1,0,19,Male,Living with family,Student,unmarried,"150,000 -350,000",Yes,18,Moderate,40,High Attachment
Cat,Family member,Daily,>180,Yes,4,4,4,3,3,1,4,4,0,3,3,4,4,0,1,1,4,4,1,3,4,0,0,22,Male,Living Alone,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,41,High Attachment
Dog,Family member,Daily,>180,Yes,4,4,3,3,4,0,3,4,1,4,3,4,3,0,0,0,3,4,1,4,3,0,0,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes,15,Moderate,40,High Attachment
Dog,Family member,Daily,>180,Yes,4,3,4,3,4,1,4,3,0,3,4,3,4,0,1,0,3,4,1,4,4,0,1,21,Male,Living with family,Student,unmarried,"50,000 -150,000",Yes,18,Moderate,40,High Attachment
Cat,Friend,Weekly,31-60,No,4,4,4,4,4,0,4,4,0,4,4,4,4,0,0,0,4,4,0,4,4,0,0,20,Male,Living Alone,Student,unmarried,"150,000 -350,000",Yes,16,Moderate,44,High Attachment
Cat,Family member,Daily,>180,Yes,4,4,4,4,4,0,4,4,0,4,4,4,4,0,0,0,4,4,0,4,4,0,0,25,Male,Living with partner,"Student, Employed(part)",married,"350,000 -700,000",Yes,16,Moderate,44,High Attachment
Cat,Family member,Daily,121-180,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,22,Male,Living with family,Student,unmarried,"350,000 -700,000",Yes,20,Moderate,35,Moderate Attachment
Fish,Friend,Daily,0-15,Yes,3,4,4,3,3,1,3,3,1,2,4,4,3,3,2,2,1,2,2,2,2,3,2,20,Female,Living with family,UnEmployed,unmarried,"Below 50,000",Yes,21,Moderate,38,Moderate Attachment
Bird,Family member,Daily,16-30,No,2,2,2,2,2,1,2,1,3,3,2,2,1,2,3,1,3,2,2,2,4,2,1,48,Female,Living with family,Employed(full),married,"50,000 -150,000",Yes,22,Moderate,25,Low Attachment
Dog,Family member,Daily,16-30,Yes,3,3,3,3,3,1,3,3,1,3,3,3,3,1,1,2,1,1,2,4,2,1,1,20,Female,Living with family,UnEmployed,unmarried,"50,000 -150,000",Yes,16,Moderate,35,Moderate Attachment
Bird,Family member,Daily,31-60,Yes,4,4,4,4,4,0,3,4,1,4,4,4,4,3,2,3,2,2,2,0,2,2,2,3,Male,Living with family,Student,unmarried,"Below 50,000",Yes,20,Moderate,44,High Attachment
Cat,Family member,Daily,16-30,Yes,3,3,3,3,3,1,4,4,1,4,3,4,4,0,0,0,2,3,1,4,1,2,2,25,Female,Living with family,UnEmployed,married,"Below 50,000",Yes,15,Moderate,40,High Attachment
